timestamp,x,y
1659722438.000,1130.495746,-780.744058
1659722439.000,1130.488980,-780.744058
1659722440.000,1130.482214,-780.755177
1659722441.000,1130.475447,-780.766297
1659722442.000,1130.468681,-780.777416
1659722443.000,1130.407785,-780.921970
1659722444.000,1130.407785,-780.966448
1659722445.000,1130.407785,-780.977567
1659722446.000,1130.394252,-780.999806
1659722447.000,1130.401019,-780.966448
1659722448.000,1130.428084,-780.944209
1659722449.000,1130.475447,-781.066523
1659722450.000,1130.522811,-781.166599
1659722451.000,1130.563408,-781.244435
1659722452.000,1130.604006,-781.122121
1659722453.000,1130.617538,-781.111001
1659722454.000,1130.617538,-781.111001
1659722455.000,1130.637837,-781.122121
1659722456.000,1130.671668,-781.177718
1659722457.000,1130.698733,-781.222196
1659722458.000,1130.651369,-781.077643
1659722459.000,1130.664902,-781.066523
1659722460.000,1130.664902,-781.077643
1659722461.000,1130.698733,-781.077643
1659722462.000,1130.712266,-781.077643
1659722463.000,1130.719032,-781.077643
1659722464.000,1130.786694,-780.944209
1659722465.000,1130.840824,-780.855253
1659722466.000,1130.861123,-780.833014
1659722467.000,1130.874655,-780.810775
1659722468.000,1130.881421,-780.788536
1659722469.000,1130.894954,-780.777416
1659722470.000,1130.908486,-780.777416
1659722471.000,1130.908486,-780.766297
1659722472.000,1130.915253,-780.766297
1659722473.000,1130.908486,-780.766297
1659722474.000,1130.908486,-780.766297
1659722475.000,1130.908486,-780.766297
1659722476.000,1130.901720,-780.777416
1659722477.000,1130.908486,-780.777416
1659722478.000,1130.908486,-780.766297
1659722479.000,1130.908486,-780.777416
1659722480.000,1130.908486,-780.777416
1659722481.000,1130.901720,-780.777416
1659722482.000,1130.901720,-780.777416
1659722483.000,1130.894954,-780.777416
1659722484.000,1130.894954,-780.777416
1659722485.000,1130.894954,-780.777416
1659722486.000,1130.894954,-780.777416
1659722487.000,1130.888188,-780.788536
1659722488.000,1130.888188,-780.777416
1659722489.000,1130.888188,-780.777416
